"stations","Opening.Dates","Parking","lon","lat","address"
"I-485/South Boulevard","November 24, 2007",TRUE,-80.882919,35.107082,"i-485/south boulevard station, charlotte, nc 28134, usa"
"Sharon Road West station","November 24, 2007",TRUE,-80.882192,35.119266,"sharon road west station, charlotte, nc 28134, usa"
"Arrowood station","November 24, 2007",TRUE,-80.8763652,35.1356865,"arrowood, 7717 england st, charlotte, nc 28273, usa"
"Archdale station","November 24, 2007",TRUE,-80.877485,35.152897,"archdale, charlotte, nc 28217, usa"
"Tyvola station","November 24, 2007",TRUE,-80.8774958,35.1628507,"tyvola, 5703 old pineville rd, charlotte, nc 28217, usa"
"Woodlawn station (Charlotte)","November 24, 2007",TRUE,-80.8792989,35.1758966,"woodlawn station, charlotte, nc 28217, usa"
"Scaleybark station","November 24, 2007",FALSE,-80.8750142,35.1909172,"scaleybark, charlotte, nc 28217, usa"
"New Bern station","November 24, 2007",FALSE,-80.8690436,35.1998463,"new bern station, charlotte, nc 28209, usa"
"East/West Boulevard station","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8589487,35.2121155,"east/west station, charlotte, nc 28203, usa"
"Bland Street station","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8552467,35.2158177,"bland, charlotte, nc 28203, usa"
"Carson light rail station (Charlotte)","November 24, 2007",FALSE,-80.8431267,35.2270869,"charlotte, nc, usa"
"Brooklyn Village (Charlotte)","August 30, 1996 |  (rebuilt November 24, 2007
) ",FALSE,-80.8429879,35.218665,"e brooklyn vlg ave, charlotte, nc, usa"
"Third Street/Convention Center station","June 28, 2004 | (rebuilt November 24, 2007) ",FALSE,-80.8431172,35.223752,"3rd st./convention center, charlotte, nc 28244, usa"
"Charlotte Transportation Center","November 24, 2007",FALSE,-80.8431267,35.2270869,"charlotte, nc, usa"
"7th Street station (Charlotte)","June 28, 2004 | (rebuilt November 24, 2007) ",FALSE,-80.8379829,35.2275061,"7th st station, charlotte, nc 28202, usa"
"9th Street station (Charlotte)","June 24, 2004 | (rebuilt March 16, 2018)",FALSE,-80.8351625,35.2294766,"239 e 9th st, charlotte, nc 28202, usa"
"Parkwood station","March 16, 2018",FALSE,-80.8232332,35.2368856,"parkwood, charlotte, nc 28206, usa"
"25th Street station (Charlotte)","March 16, 2018",FALSE,-80.8170802,35.2417357,"25th street, charlotte, nc 28206, usa"
"36th Street station (Charlotte)","March 16, 2018",FALSE,-80.8054513,35.2485403,"36th street station, charlotte, nc 28205, usa"
"Sugar Creek station (Charlotte)","March 16, 2018",TRUE,-80.7918369,35.251055,"sugar creek station, bearwood ave, charlotte, nc 28205, usa"
"Old Concord Road station","March 16, 2018",TRUE,-80.7727144,35.2599632,"old concord road station, charlotte, nc 28213, usa"
"Tom Hunter station","March 16, 2018",FALSE,-80.7662863,35.2779461,"tom hunter station, charlotte, nc 28213, usa"
"University City Blvd station","March 16, 2018",TRUE,-80.7607365,35.2869215,"university city blvd, 7205 n tryon st, charlotte, nc 28262, usa"
"McCullough station","March 16, 2018",FALSE,-80.752875,35.301124,"mccullough, 8312 n tryon st, charlotte, nc 28262, usa"
"JW Clay Blvd/UNC Charlotte station","March 16, 2018",TRUE,-80.7450265,35.3108328,"9234-9300 n tryon st, charlotte, nc 28262, usa"
"UNC Charlotteâ€“Main station","March 16, 2018",FALSE,-80.7337083,35.312183,"unc charlotte main station, 9025 cameron blvd, charlotte, nc 28262, usa"
