year,date,holiday
2000,2000-01-01,New Year's Day
2000,2000-02-05,Chinese New Year
2000,2000-02-14,Valentine's Day
2000,2000-04-23,Easter Sunday
2000,2000-05-14,Mother's Day
2000,2000-06-18,Father's Day
2000,2000-07-04,Independence Day
2000,2000-10-31,Halloween
2000,2000-11-23,Thanksgiving Day
2000,2000-12-24,Christmas Eve
2000,2000-12-25,Christmas Day
2000,2000-12-31,New Year's Eve
2001,2001-01-01,New Year's Day
2001,2001-01-24,Chinese New Year
2001,2001-02-14,Valentine's Day
2001,2001-04-15,Easter Sunday
2001,2001-05-13,Mother's Day
2001,2001-06-17,Father's Day
2001,2001-07-04,Independence Day
2001,2001-10-31,Halloween
2001,2001-11-22,Thanksgiving Day
2001,2001-12-24,Christmas Eve
2001,2001-12-25,Christmas Day
2001,2001-12-31,New Year's Eve
2002,2002-01-01,New Year's Day
2002,2002-02-12,Chinese New Year
2002,2002-02-14,Valentine's Day
2002,2002-03-31,Easter Sunday
2002,2002-05-12,Mother's Day
2002,2002-06-16,Father's Day
2002,2002-07-04,Independence Day
2002,2002-10-31,Halloween
2002,2002-11-28,Thanksgiving Day
2002,2002-12-24,Christmas Eve
2002,2002-12-25,Christmas Day
2002,2002-12-31,New Year's Eve
2003,2003-01-01,New Year's Day
2003,2003-02-01,Chinese New Year
2003,2003-02-14,Valentine's Day
2003,2003-04-20,Easter Sunday
2003,2003-05-11,Mother's Day
2003,2003-06-15,Father's Day
2003,2003-07-04,Independence Day
2003,2003-10-31,Halloween
2003,2003-11-27,Thanksgiving Day
2003,2003-12-24,Christmas Eve
2003,2003-12-25,Christmas Day
2003,2003-12-31,New Year's Eve
2004,2004-01-01,New Year's Day
2004,2004-01-22,Chinese New Year
2004,2004-02-14,Valentine's Day
2004,2004-04-11,Easter Sunday
2004,2004-05-09,Mother's Day
2004,2004-06-20,Father's Day
2004,2004-07-04,Independence Day
2004,2004-10-31,Halloween
2004,2004-11-25,Thanksgiving Day
2004,2004-12-24,Christmas Eve
2004,2004-12-25,Christmas Day
2004,2004-12-31,New Year's Eve
2005,2005-01-01,New Year's Day
2005,2005-02-09,Chinese New Year
2005,2005-02-14,Valentine's Day
2005,2005-03-27,Easter Sunday
2005,2005-05-08,Mother's Day
2005,2005-06-19,Father's Day
2005,2005-07-04,Independence Day
2005,2005-10-31,Halloween
2005,2005-11-24,Thanksgiving Day
2005,2005-12-24,Christmas Eve
2005,2005-12-25,Christmas Day
2005,2005-12-31,New Year's Eve
2006,2006-01-01,New Year's Day
2006,2006-01-29,Chinese New Year
2006,2006-02-14,Valentine's Day
2006,2006-04-16,Easter Sunday
2006,2006-05-14,Mother's Day
2006,2006-06-18,Father's Day
2006,2006-07-04,Independence Day
2006,2006-10-31,Halloween
2006,2006-11-23,Thanksgiving Day
2006,2006-12-24,Christmas Eve
2006,2006-12-25,Christmas Day
2006,2006-12-31,New Year's Eve
2007,2007-01-01,New Year's Day
2007,2007-02-14,Valentine's Day
2007,2007-02-18,Chinese New Year
2007,2007-04-08,Easter Sunday
2007,2007-05-13,Mother's Day
2007,2007-06-17,Father's Day
2007,2007-07-04,Independence Day
2007,2007-10-31,Halloween
2007,2007-11-22,Thanksgiving Day
2007,2007-12-24,Christmas Eve
2007,2007-12-25,Christmas Day
2007,2007-12-31,New Year's Eve
2008,2008-01-01,New Year's Day
2008,2008-02-07,Chinese New Year
2008,2008-02-14,Valentine's Day
2008,2008-03-23,Easter Sunday
2008,2008-05-11,Mother's Day
2008,2008-06-15,Father's Day
2008,2008-07-04,Independence Day
2008,2008-10-31,Halloween
2008,2008-11-27,Thanksgiving Day
2008,2008-12-24,Christmas Eve
2008,2008-12-25,Christmas Day
2008,2008-12-31,New Year's Eve
2009,2009-01-01,New Year's Day
2009,2009-01-26,Chinese New Year
2009,2009-02-14,Valentine's Day
2009,2009-04-12,Easter Sunday
2009,2009-05-10,Mother's Day
2009,2009-06-21,Father's Day
2009,2009-07-04,Independence Day
2009,2009-10-31,Halloween
2009,2009-11-26,Thanksgiving Day
2009,2009-12-24,Christmas Eve
2009,2009-12-25,Christmas Day
2009,2009-12-31,New Year's Eve
2010,2010-01-01,New Year's Day
2010,2010-02-14,Valentine's Day
2010,2010-02-14,Chinese New Year
2010,2010-04-04,Easter Sunday
2010,2010-05-09,Mother's Day
2010,2010-06-20,Father's Day
2010,2010-07-04,Independence Day
2010,2010-10-31,Halloween
2010,2010-11-25,Thanksgiving Day
2010,2010-12-24,Christmas Eve
2010,2010-12-25,Christmas Day
2010,2010-12-31,New Year's Eve
2011,2011-01-01,New Year's Day
2011,2011-02-03,Chinese New Year
2011,2011-02-14,Valentine's Day
2011,2011-04-24,Easter Sunday
2011,2011-05-08,Mother's Day
2011,2011-06-19,Father's Day
2011,2011-07-04,Independence Day
2011,2011-10-31,Halloween
2011,2011-11-24,Thanksgiving Day
2011,2011-12-24,Christmas Eve
2011,2011-12-25,Christmas Day
2011,2011-12-31,New Year's Eve
2012,2012-01-01,New Year's Day
2012,2012-01-23,Chinese New Year
2012,2012-02-14,Valentine's Day
2012,2012-04-08,Easter Sunday
2012,2012-05-13,Mother's Day
2012,2012-06-17,Father's Day
2012,2012-07-04,Independence Day
2012,2012-10-31,Halloween
2012,2012-11-22,Thanksgiving Day
2012,2012-12-24,Christmas Eve
2012,2012-12-25,Christmas Day
2012,2012-12-31,New Year's Eve
2013,2013-01-01,New Year's Day
2013,2013-02-10,Chinese New Year
2013,2013-02-14,Valentine's Day
2013,2013-03-31,Easter Sunday
2013,2013-05-12,Mother's Day
2013,2013-06-16,Father's Day
2013,2013-07-04,Independence Day
2013,2013-10-31,Halloween
2013,2013-11-28,Thanksgiving Day
2013,2013-12-24,Christmas Eve
2013,2013-12-25,Christmas Day
2013,2013-12-31,New Year's Eve
2014,2014-01-01,New Year's Day
2014,2014-01-31,Chinese New Year
2014,2014-02-14,Valentine's Day
2014,2014-04-20,Easter Sunday
2014,2014-05-11,Mother's Day
2014,2014-06-15,Father's Day
2014,2014-07-04,Independence Day
2014,2014-10-31,Halloween
2014,2014-11-27,Thanksgiving Day
2014,2014-12-24,Christmas Eve
2014,2014-12-25,Christmas Day
2014,2014-12-31,New Year's Eve
2015,2015-01-01,New Year's Day
2015,2015-02-14,Valentine's Day
2015,2015-02-19,Chinese New Year
2015,2015-04-05,Easter Sunday
2015,2015-05-10,Mother's Day
2015,2015-06-21,Father's Day
2015,2015-07-04,Independence Day
2015,2015-10-31,Halloween
2015,2015-11-26,Thanksgiving Day
2015,2015-12-24,Christmas Eve
2015,2015-12-25,Christmas Day
2015,2015-12-31,New Year's Eve
2016,2016-01-01,New Year's Day
2016,2016-02-08,Chinese New Year
2016,2016-02-14,Valentine's Day
2016,2016-03-27,Easter Sunday
2016,2016-05-08,Mother's Day
2016,2016-06-19,Father's Day
2016,2016-07-04,Independence Day
2016,2016-10-31,Halloween
2016,2016-11-24,Thanksgiving Day
2016,2016-12-24,Christmas Eve
2016,2016-12-25,Christmas Day
2016,2016-12-31,New Year's Eve
2017,2017-01-01,New Year's Day
2017,2017-01-28,Chinese New Year
2017,2017-02-14,Valentine's Day
2017,2017-04-16,Easter Sunday
2017,2017-05-14,Mother's Day
2017,2017-06-18,Father's Day
2017,2017-07-04,Independence Day
2017,2017-10-31,Halloween
2017,2017-11-23,Thanksgiving Day
2017,2017-12-24,Christmas Eve
2017,2017-12-25,Christmas Day
2017,2017-12-31,New Year's Eve
2018,2018-01-01,New Year's Day
2018,2018-02-14,Valentine's Day
2018,2018-02-16,Chinese New Year
2018,2018-04-01,Easter Sunday
2018,2018-05-13,Mother's Day
2018,2018-06-17,Father's Day
2018,2018-07-04,Independence Day
2018,2018-10-31,Halloween
2018,2018-11-22,Thanksgiving Day
2018,2018-12-24,Christmas Eve
2018,2018-12-25,Christmas Day
2018,2018-12-31,New Year's Eve
2019,2019-01-01,New Year's Day
2019,2019-02-05,Chinese New Year
2019,2019-02-14,Valentine's Day
2019,2019-04-21,Easter Sunday
2019,2019-05-12,Mother's Day
2019,2019-06-16,Father's Day
2019,2019-07-04,Independence Day
2019,2019-10-31,Halloween
2019,2019-11-28,Thanksgiving Day
2019,2019-12-24,Christmas Eve
2019,2019-12-25,Christmas Day
2019,2019-12-31,New Year's Eve
2020,2020-01-01,New Year's Day
2020,2020-01-25,Chinese New Year
2020,2020-02-14,Valentine's Day
2020,2020-04-12,Easter Sunday
2020,2020-05-10,Mother's Day
2020,2020-06-21,Father's Day
2020,2020-07-04,Independence Day
2020,2020-10-31,Halloween
2020,2020-11-26,Thanksgiving Day
2020,2020-12-24,Christmas Eve
2020,2020-12-25,Christmas Day
2020,2020-12-31,New Year's Eve
2021,2021-01-01,New Year's Day
2021,2021-02-12,Chinese New Year
2021,2021-02-14,Valentine's Day
2021,2021-04-04,Easter Sunday
2021,2021-05-09,Mother's Day
2021,2021-06-20,Father's Day
2021,2021-07-04,Independence Day
2021,2021-10-31,Halloween
2021,2021-11-25,Thanksgiving Day
2021,2021-12-24,Christmas Eve
2021,2021-12-25,Christmas Day
2021,2021-12-31,New Year's Eve
2022,2022-01-01,New Year's Day
2022,2022-02-01,Chinese New Year
2022,2022-02-14,Valentine's Day
2022,2022-04-17,Easter Sunday
2022,2022-05-08,Mother's Day
2022,2022-06-19,Father's Day
2022,2022-07-04,Independence Day
2022,2022-10-31,Halloween
2022,2022-11-24,Thanksgiving Day
2022,2022-12-24,Christmas Eve
2022,2022-12-25,Christmas Day
2022,2022-12-31,New Year's Eve
2023,2023-01-01,New Year's Day
2023,2023-01-22,Chinese New Year
2023,2023-02-14,Valentine's Day
2023,2023-04-09,Easter Sunday
2023,2023-05-14,Mother's Day
2023,2023-06-18,Father's Day
2023,2023-07-04,Independence Day
2023,2023-10-31,Halloween
2023,2023-11-23,Thanksgiving Day
2023,2023-12-24,Christmas Eve
2023,2023-12-25,Christmas Day
2023,2023-12-31,New Year's Eve
2024,2024-01-01,New Year's Day
2024,2024-02-10,Chinese New Year
2024,2024-02-14,Valentine's Day
2024,2024-03-31,Easter Sunday
2024,2024-05-12,Mother's Day
2024,2024-06-16,Father's Day
2024,2024-07-04,Independence Day
2024,2024-10-31,Halloween
2024,2024-11-28,Thanksgiving Day
2024,2024-12-24,Christmas Eve
2024,2024-12-25,Christmas Day
2024,2024-12-31,New Year's Eve
2025,2025-01-01,New Year's Day
2025,2025-01-29,Chinese New Year
2025,2025-02-14,Valentine's Day
2025,2025-04-20,Easter Sunday
2025,2025-05-11,Mother's Day
2025,2025-06-15,Father's Day
2025,2025-07-04,Independence Day
2025,2025-10-31,Halloween
2025,2025-11-27,Thanksgiving Day
2025,2025-12-24,Christmas Eve
2025,2025-12-25,Christmas Day
2025,2025-12-31,New Year's Eve
