"Type","sources","Address","Reason.s.","lon","lat","address","lat2","lon2","address2"
"Power Plant","GG Allen steam station ","253 Plant Allen Rd, Belmont, NC 28012","Coal-fired power plant.",-81.0085527,35.1898238,"253 plant allen rd, belmont, nc 28012, usa",35.1898238,-81.0085527,"253 plant allen rd, belmont, nc 28012, usa"
"Neighbourhood","South End ","South End, Charlotte, NC 28203","Once heavily industrial, still contains some light industrial facilities despite redevelopment.",-80.8587772,35.2125577,"south end, charlotte, nc 28203, usa",35.2125577,-80.8587772,"south end, charlotte, nc 28203, usa"
"Airport","Charlotte Douglas International Airport","5501 Josh Birmingham Pkwy, Charlotte, NC 28208","",-80.9539472,35.2163002,"charlotte douglas international airport (clt), 5501 josh birmingham pkwy, charlotte, nc 28208, usa",35.2163002,-80.9539472,"charlotte douglas international airport (clt), 5501 josh birmingham pkwy, charlotte, nc 28208, usa"
"Intersection","Ardrey Kell Rd Rea Rd","Ardrey Kell Rd Rea Rd, Charlotte, NC","",-80.8055383,35.0336061,"ardrey kell rd & rea rd, charlotte, nc 28277, usa",35.0336061,-80.8055383,"ardrey kell rd & rea rd, charlotte, nc 28277, usa"
"Intersection","Ardrey Kell Rd Tom Short Rd","Ardrey Kell Rd Tom Short Rd, Charlotte, NC","",-80.7939217,35.0406257,"ardrey kell rd & tom short rd, providence crossing, nc 28277, usa",35.0406257,-80.7939217,"ardrey kell rd & tom short rd, providence crossing, nc 28277, usa"
"Intersection","Back Creek Church Rd Pavilion Blvd University City Blvd","Back Creek Church Rd Pavilion Blvd University City Blvd, Charlotte, NC","",-80.7123599,35.3112693,"pavilion blvd & university city blvd, charlotte, nc 28262, usa",35.3112693,-80.7123599,"pavilion blvd & university city blvd, charlotte, nc 28262, usa"
"Intersection","Ballantyne Commons Pkwy Johnston Rd","Ballantyne Commons Pkwy Johnston Rd, Charlotte, NC","",-80.8501516,35.0545773,"ballantyne commons pkwy & johnston rd, charlotte, nc 28277, usa",35.0545773,-80.8501516,"ballantyne commons pkwy & johnston rd, charlotte, nc 28277, usa"
"Intersection","Ballantyne Commons Pkwy Rea Rd","Ballantyne Commons Pkwy Rea Rd, Charlotte, NC","",-80.8123589,35.0582131,"ballantyne commons pkwy & rea rd, charlotte, nc 28277, usa",35.0582131,-80.8123589,"ballantyne commons pkwy & rea rd, charlotte, nc 28277, usa"
"Intersection","Billy Graham Pkwy S Tryon St Woodlawn Rd","Billy Graham Pkwy S Tryon St Woodlawn Rd, Charlotte, NC","",-80.8892862,35.1806695,"s tryon st & billy graham pkwy, charlotte, nc 28217, usa",35.1806695,-80.8892862,"s tryon st & billy graham pkwy, charlotte, nc 28217, usa"
"Intersection","Billy Graham Pkwy West Bv","Billy Graham Pkwy West Bv, Charlotte, NC","",-80.9220454,35.2061364,"billy graham pkwy & west blvd, charlotte, nc 28208, usa",35.2061364,-80.9220454,"billy graham pkwy & west blvd, charlotte, nc 28208, usa"
"Intersection","Brookshire Blvd Mt Holly Huntersville Rd","Brookshire Blvd Mt Holly Huntersville Rd, Charlotte, NC","",-80.9452221,35.3255437,"brookshire blvd & mt holly-huntersville rd, charlotte, nc 28216, usa",35.3255437,-80.9452221,"brookshire blvd & mt holly-huntersville rd, charlotte, nc 28216, usa"
"Intersection","Carmel Rd Colony Rd","Carmel Rd Colony Rd, Charlotte, NC","",-80.8091149,35.1325859,"colony rd & carmel rd, charlotte, nc 28226, usa",35.1325859,-80.8091149,"colony rd & carmel rd, charlotte, nc 28226, usa"
"Intersection","Charlottetowne Av I-277 OL Ramp Kenilworth Av","Charlottetowne Av I-277 OL Ramp Kenilworth Av, Charlotte, NC","",NA,NA,NA,35.21393,-80.83748,"Charlottetowne Av I-277 OL Ramp Kenilworth Av, Charlotte, NC"
"Intersection","Colony Rd Fairview Rd","Colony Rd Fairview Rd, Charlotte, NC","",-80.8192918,35.1466701,"fairview rd & colony rd, charlotte, nc 28226, usa",35.1466701,-80.8192918,"fairview rd & colony rd, charlotte, nc 28226, usa"
"Intersection","Colville Rd Laurel Av Randolph Rd","Colville Rd Laurel Av Randolph Rd, Charlotte, NC","",-80.8183804,35.196668,"colville rd, charlotte, nc 28207, usa",35.196668,-80.8183804,"colville rd, charlotte, nc 28207, usa"
"Intersection","Fairview Rd Park Road Tyvola Rd","Fairview Rd Park Road Tyvola Rd, Charlotte, NC","",-80.847785,35.152618,"fairview rd & park rd, charlotte, nc 28210, usa",35.152618,-80.847785,"fairview rd & park rd, charlotte, nc 28210, usa"
"Intersection","Fairview Rd Providence Rd Sardis Rd","Fairview Rd Providence Rd Sardis Rd, Charlotte, NC","",-80.795612,35.153808,"fairview rd & providence rd, charlotte, nc 28211, usa",35.153808,-80.795612,"fairview rd & providence rd, charlotte, nc 28211, usa"
"Intersection","Fairview Rd Sharon Rd","Fairview Rd Sharon Rd, Charlotte, NC","",-80.830787,35.1484917,"fairview rd & sharon rd, charlotte, nc 28210, usa",35.1484917,-80.830787,"fairview rd & sharon rd, charlotte, nc 28210, usa"
"Intersection","I-85 Ramps Brookshire Blvd","I-85 Ramps Brookshire Blvd, Charlotte, NC","",-80.9218709,35.3057079,"brookshire blvd, north carolina, usa",35.3057079,-80.9218709,"brookshire blvd, north carolina, usa"
"Intersection","Independence Blvd Village Lake Dr","Independence Blvd Village Lake Dr, Charlotte, NC","",-80.7393889,35.1626775,"e independence blvd & village lake dr, charlotte, nc 28227, usa",35.1626775,-80.7393889,"e independence blvd & village lake dr, charlotte, nc 28227, usa"
"Intersection","Kings Dr Morehead St","Kings Dr Morehead St, Charlotte, NC","",-80.836083,35.205484,"kings dr & morehead st, charlotte, nc 28204, usa",35.205484,-80.836083,"kings dr & morehead st, charlotte, nc 28204, usa"
"Intersection","Park Rd Woodlawn Rd","Park Rd Woodlawn Rd, Charlotte, NC","",-80.8510859,35.1720456,"park rd & woodlawn rd, charlotte, nc 28209, usa",35.1720456,-80.8510859,"park rd & woodlawn rd, charlotte, nc 28209, usa"
"Intersection","Pineville-Matthews Rd Providence Rd","Pineville-Matthews Rd Providence Rd, Charlotte, NC","",-80.7788003,35.0999309,"providence rd & pineville-matthews rd, charlotte, nc 28277, usa",35.0999309,-80.7788003,"providence rd & pineville-matthews rd, charlotte, nc 28277, usa"
"Intersection","Providence Rd Queens Rd","Providence Rd Queens Rd, Charlotte, NC","",NA,NA,NA,35.19589,-80.82715,"Providence Rd Queens Rd, Charlotte, NC"
"Intersection","Providence Rd Sharon Amity Rd","Providence Rd Sharon Amity Rd, Charlotte, NC","",-80.8082643,35.1713379,"providence rd & s sharon amity rd, charlotte, nc 28211, usa",35.1713379,-80.8082643,"providence rd & s sharon amity rd, charlotte, nc 28211, usa"
"Intersection","Providence Rd Wendover Rd","Providence Rd Wendover Rd, Charlotte, NC","",-80.8174691,35.1773992,"providence rd & s wendover rd, charlotte, nc 28211, usa",35.1773992,-80.8174691,"providence rd & s wendover rd, charlotte, nc 28211, usa"
"Intersection","Randolph Rd Sharon Amity Rd","Randolph Rd Sharon Amity Rd, Charlotte, NC","",-80.7982314,35.1759356,"randolph rd & s sharon amity rd, charlotte, nc 28211, usa",35.1759356,-80.7982314,"randolph rd & s sharon amity rd, charlotte, nc 28211, usa"
"Intersection","Randolph Rd Wendover Rd","Randolph Rd Wendover Rd, Charlotte, NC","",-80.8075698,35.1842083,"n wendover rd & randolph rd, charlotte, nc 28211, usa",35.1842083,-80.8075698,"n wendover rd & randolph rd, charlotte, nc 28211, usa"
"Intersection","Runnymede Ln Selwyn Av Woodlawn Rd","Runnymede Ln Selwyn Av Woodlawn Rd, Charlotte, NC","",-80.840758,35.170835,"runnymede ln & selwyn ave, charlotte, nc 28209, usa",35.170835,-80.840758,"runnymede ln & selwyn ave, charlotte, nc 28209, usa"
"Intersection","South Blvd Tyvola Rd","South Blvd Tyvola Rd, Charlotte, NC","",-80.8760396,35.1648184,"tyvola rd & south blvd, charlotte, nc 28210, usa",35.1648184,-80.8760396,"tyvola rd & south blvd, charlotte, nc 28210, usa"
"Intersection","South Blvd Woodlawn Rd","South Blvd Woodlawn Rd, Charlotte, NC","",-80.8758238,35.1765299,"e woodlawn rd & south blvd, charlotte, nc 28209, usa",35.1765299,-80.8758238,"e woodlawn rd & south blvd, charlotte, nc 28209, usa"
